DGP,Cluster-robust SE w/o FE,Hetero-robust SE w/o FE,Cluster-robust SE w/ FE,Hetero-robust SE w/ FE
"Clusters not sampled, no cluster FE, not heterogeneous TE, assignment no within-cluster correlation",0.062,0.059,0.047,0.046
"Clusters not sampled, cluster FE, not heterogeneous TE, assignment no within-cluster correlation",0,0.517,0.06,0.06
"Clusters not sampled, no cluster FE, heterogeneous TE, assignment no within-cluster correlation",0,0.053,0,0.055
"Clusters not sampled, no cluster FE, no heterogeneous TE, assignment within-cluster correlation",0.053,0.053,0.045,0.054
"Clusters not sampled, cluster FE, heterogeneous TE, assignment no within-cluster correlation",0,0.414,0,0.055
"Clusters not sampled, cluster FE, not heterogeneous TE, assignment within-cluster correlation",0,0.997,0.045,0.054
"Clusters not sampled, no cluster FE, heterogeneous TE, assignment within-cluster correlation",0,0.42,0,0.742
"Clusters not sampled, cluster FE, heterogeneous TE, assignment within-cluster correlation",0,0.727,0,0.742
"Clusters sampled, no cluster FE, no heterogeneous TE, assignment no within-cluster correlation",0.068,0.067,0.064,0.062
"Clusters sampled, cluster FE, no heterogeneous TE, assignment no within-cluster correlation",0.059,0.706,0.049,0.043
"Clusters sampled, no cluster FE, heterogeneous TE, assignment no within-cluster correlation",0.046,0.686,0.044,0.651
"Clusters sampled, no cluster FE, no heterogeneous TE, assignment within-cluster correlation",0.047,0.039,0.052,0.053
"Clusters sampled, cluster FE, heterogeneous TE, assignment no within-cluster correlation",0.061,0.738,0.044,0.651
"Clusters sampled, cluster FE, no heterogeneous TE, assignment within-cluster correlation",0.048,0.731,0.052,0.053
"Clusters sampled, no cluster FE, heterogeneous TE, assignment within-cluster correlation",0.05,0.729,0.048,0.614
"Clusters sampled, cluster FE, heterogeneous TE, assignment within-cluster correlation",0.052,0.764,0.048,0.614
